index,accX_L,accY_L,accZ_L,total_acc_L,accX_R,accY_R,accZ_R,total_acc_R,L_act,R_act
1720,-0.82,0.424,-0.358,0.99,-0.8859999999999999,0.47100000000000003,-0.354,1.064,Idle,Idle
1721,-0.8170000000000001,0.42700000000000005,-0.353,0.987,-0.807,0.47600000000000003,-0.424,1.028,Idle,Idle
1722,-0.8190000000000001,0.425,-0.35600000000000004,0.9890000000000001,-0.852,0.48100000000000004,-0.445,1.075,Idle,Idle
1723,-0.82,0.426,-0.35600000000000004,0.99,-0.902,0.461,-0.537,1.147,Idle,Idle
1724,-0.8170000000000001,0.424,-0.35700000000000004,0.987,-0.953,0.41200000000000003,-0.5870000000000001,1.193,Idle,Idle
1725,-0.816,0.425,-0.355,0.986,-1.143,0.601,-0.29100000000000004,1.324,Idle,Idle
1726,-0.818,0.428,-0.355,0.9890000000000001,-0.6990000000000001,1.016,-0.322,1.275,Idle,Idle
1727,-0.8190000000000001,0.42700000000000005,-0.35600000000000004,0.99,-0.6920000000000001,1.0270000000000001,-0.252,1.264,Idle,Idle
1728,-0.818,0.426,-0.35700000000000004,0.9890000000000001,-0.723,0.8490000000000001,-0.319,1.16,Idle,Idle
1729,-0.82,0.425,-0.35200000000000004,0.988,-0.797,0.6829999999999999,-0.313,1.095,Idle,Idle
1730,-0.818,0.42700000000000005,-0.355,0.9890000000000001,-0.9590000000000001,0.264,-0.414,1.077,Idle,Idle
1731,-0.818,0.426,-0.353,0.988,-1.087,-0.14300000000000002,-0.498,1.204,Idle,Idle
1732,-0.8190000000000001,0.425,-0.355,0.9890000000000001,-1.068,-0.028999999999999998,-0.62,1.235,Idle,Idle
1733,-0.8190000000000001,0.428,-0.35600000000000004,0.99,-1.002,0.151,-0.6409999999999999,1.199,Idle,Idle
1734,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-0.848,0.376,-0.684,1.153,Idle,Idle
1735,-0.818,0.42700000000000005,-0.36200000000000004,0.991,-0.858,0.397,-0.737,1.199,Idle,Idle
1736,-0.8190000000000001,0.42700000000000005,-0.35700000000000004,0.99,-0.898,0.344,-0.7170000000000001,1.2,Idle,Idle
1737,-0.8190000000000001,0.428,-0.355,0.99,-0.929,0.25,-0.722,1.203,Idle,Idle
1738,-0.818,0.426,-0.354,0.988,-1.002,-0.08,-0.654,1.199,Idle,Idle
1739,-0.8190000000000001,0.426,-0.35600000000000004,0.9890000000000001,-1.0170000000000001,-0.085,-0.662,1.216,Idle,Idle
1740,-0.82,0.424,-0.359,0.99,-0.953,-0.069,-0.657,1.16,Idle,Idle
1741,-0.82,0.424,-0.36,0.991,-0.8140000000000001,0.021,-0.599,1.011,Idle,Idle
1742,-0.82,0.42700000000000005,-0.35700000000000004,0.991,-0.77,0.14300000000000002,-0.581,0.975,Idle,Idle
1743,-0.818,0.428,-0.359,0.991,-0.8270000000000001,0.201,-0.598,1.04,Idle,Idle
1744,-0.82,0.426,-0.35200000000000004,0.9890000000000001,-0.841,0.21899999999999997,-0.621,1.068,Idle,Idle
1745,-0.818,0.42700000000000005,-0.358,0.99,-0.7929999999999999,0.20199999999999999,-0.586,1.0070000000000001,Idle,Idle
1746,-0.818,0.426,-0.358,0.9890000000000001,-0.8029999999999999,0.14400000000000002,-0.51,0.9620000000000001,Idle,Idle
1747,-0.82,0.42700000000000005,-0.35200000000000004,0.9890000000000001,-0.743,0.18899999999999997,-0.41200000000000003,0.87,Idle,Idle
1748,-0.82,0.42700000000000005,-0.35600000000000004,0.991,-0.6829999999999999,0.276,-0.473,0.875,Idle,Idle
1749,-0.818,0.426,-0.36,0.99,-0.644,0.358,-0.47,0.8740000000000001,Idle,Idle
1750,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-0.588,0.37799999999999995,-0.429,0.82,Idle,Idle
1751,-0.8190000000000001,0.426,-0.35700000000000004,0.99,-1.903,0.738,0.769,2.181,Idle,Idle
1752,-0.8170000000000001,0.425,-0.354,0.987,-0.764,0.76,-0.612,1.239,Idle,Idle
1753,-0.818,0.425,-0.354,0.987,-0.545,0.77,-0.574,1.104,Idle,Idle
1754,-0.82,0.42700000000000005,-0.35600000000000004,0.991,-0.48,0.695,0.126,0.8540000000000001,Idle,Idle
1755,-0.8190000000000001,0.426,-0.358,0.99,-0.772,0.479,-0.557,1.0659999999999998,Idle,R
1756,-0.818,0.426,-0.35700000000000004,0.9890000000000001,-0.725,0.5,-0.526,1.026,Idle,R
1757,-0.818,0.426,-0.355,0.988,-0.722,0.6809999999999999,-0.235,1.02,Idle,R
1758,-0.8190000000000001,0.42700000000000005,-0.35600000000000004,0.99,-0.7040000000000001,0.585,-0.255,0.95,Idle,R
1759,-0.818,0.428,-0.35600000000000004,0.9890000000000001,-0.727,0.512,-0.24600000000000002,0.9229999999999999,Idle,R
